Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Aesculus assamica,11.9917,9,17.7656,27.8,11.0389,1271.33,65.1667,True,,,37,48
Aesculus californica,11.9917,9,14.2238,27.341,8.68694,685.625,41.25,True,,,4491,2060
Aesculus chinensis,11.9917,9,14.5851,29.7615,4.59725,1121.62,87.25,True,,,81,121
Aesculus flava,11.9917,11,10.8729,27.1467,2.24694,996.5,191.833,True,,13,489,
Aesculus glabra,11.9917,11,11.4763,29.798,-0.245393,938.25,162.375,True,,,1667,661
Aesculus indica,11.9917,11,11.1063,23.336,5.20056,774.167,140.667,True,,2,115,
Aesculus parviflora,11.9917,11,12.7588,28.2745,2.97108,1020.62,201.875,True,,,366,75
Aesculus pavia,11.9917,9,15.3878,31.4205,5.60981,1148.25,220.625,True,,,2625,688
Aethionema grandiflorum,11.9917,8,9.54167,26.25,-0.391667,656.5,90.0,False,59,,64,
Aethionema saxatile,11.9917,11,10.5222,25.65,2.71667,760.75,134.0,False,52,,3808,
Aethionema schistosum,11.9917,11,12.4736,29.65,2.05417,693.25,75.0,False,28,,5,
Agapanthus campanulatus,11.9917,8,12.9368,23.8,6.80833,813.5,98.5,False,37,,220,
Agapanthus coddii,11.9917,8,15.2472,25.65,8.43333,678.5,84.5,False,12,,6,
Agastache aurantiaca,11.9917,11,11.7674,25.475,6.03333,781.75,83.5,False,16,,51,
Agastache nepetoides,11.9917,11,10.6403,28.7,-0.170833,933.75,169.0,False,40,,1279,
Agastache rupestris,11.9917,11,12.0764,29.2,3.825,684.25,98.0,False,39,,32,
Agastache urticifolia,11.9917,9,6.81807,25.4,-0.908333,634.0,102.5,False,25,,2852,
Agave bracteosa,11.9917,9,17.1917,29.275,9.71667,589.75,83.5,False,85,,31,
Agave gentryi,11.9917,8,14.8847,27.375,11.2,541.0,36.75,False,14,,298,
Agave parryi,11.9917,11,13.3694,28.75,4.95,613.5,83.5,False,108,,1933,
Agave stricta,11.9917,9,17.475,28.85,11.5417,629.0,70.5,False,100,,72,
Agave toumeyana,11.9917,9,15.5486,30.8,7.025,608.5,84.5,False,29,,109,
Agave virginica,11.9917,9,14.4458,30.1,4.79167,1169.0,233.5,False,9,,1313,
Ageratina altissima,11.9917,11,10.1361,27.525,0.0333325,931.5,180.5,False,56,,9834,
Agrimonia eupatoria,11.9917,9,9.46042,23.95,2.07083,719.0,133.5,False,136,,7292,
Ajuga reptans,11.9917,9,9.42638,23.85,1.94583,821.0,150.5,False,139,,7945,
Akebia longeracemosa,11.9917,9,16.0542,26.1,9.33333,1638.5,150.5,False,11,,322,
Akebia quinata,11.9917,11,11.5264,26.75,2.46667,1077.0,156.5,False,177,,4845,
Akebia trifoliata,11.9917,11,12.391,26.225,3.7375,1203.25,159.5,False,51,,2425,
Alangium platanifolium,11.9917,11,12.9931,28.0615,3.39858,1294.62,152.25,True,,,903,722
Albizia julibrissin,11.9917,9,14.368,29.9436,5.37483,1124.25,158.5,True,,,7045,633
