Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Primula grandis,14.2833,2,4.37222,19.475,-2.50417,1062.5,202.0,False,2,,9,
Primula hirsuta,14.2833,2,4.84444,19.6,-1.2625,1096.0,202.5,False,44,,3984,
Primula juliae,14.2833,2,6.80694,22.3,-0.758332,771.0,128.5,False,47,,34,
Primula marginata,14.2833,2,5.37292,20.075,-0.870833,964.5,167.75,False,52,,1591,
Primula matthioli,14.2833,2,3.09444,21.0,-7.03333,737.75,123.0,False,8,,1548,
Primula minima,14.2833,2,3.44583,18.15,-2.76667,1098.5,207.0,False,29,,2383,
Primula villosa,14.2833,2,4.54028,19.175,-1.95417,1160.25,206.25,False,13,,126,
Primula wulfeniana,14.2833,2,5.15139,19.525,-1.74167,1308.25,238.0,False,35,,61,
Psephellus simplicicaulis,14.2833,2,8.09722,24.625,-0.233331,641.5,123.5,False,7,,11,
Pseudocherleria aizoides,14.2833,2,3.51805,18.3,-1.8,930.5,177.5,False,1,,62,
Pseudocherleria imbricata,14.2833,2,3.54583,18.15,-1.83333,961.5,182.0,False,1,,147,
Pseudopodospermum suberosum,14.2833,2,7.24584,22.325,0.433335,619.5,108.25,False,2,,5,
Pulsatilla aurea,14.2833,2,5.01111,20.9,-2.81667,1065.0,195.0,False,13,,25,
Pulsatilla pratensis,14.2833,2,7.90972,22.375,0.00416668,602.75,111.0,False,5,,8535,
Pulsatilla violacea,14.2833,2,5.36111,21.0,-2.775,927.0,164.75,False,29,,12,
Ranunculus glacialis,14.2833,2,2.14028,17.7,-3.30417,971.75,175.5,False,23,,6286,
Ranzania japonica,14.2833,2,7.02639,23.65,-2.36667,1201.0,200.0,False,16,,24,
Raoulia hectorii,14.2833,2,4.49583,16.3,-0.866667,2611.0,474.0,False,1,,256,
Raoulia subsericea,14.2833,2,8.4,20.975,3.08333,1135.25,219.5,False,14,,1195,
Rhodiola ishidae,14.2833,2,5.525,22.1,-4.225,1044.75,168.75,False,13,,66,
Rhodiola semenovii,14.2833,2,3.55,21.85,-5.42917,675.5,109.75,False,11,,75,
Rhododendron albiflorum,14.2833,2,5.12361,20.95,-1.475,1064.25,142.25,False,11,,2726,
Rhododendron aureodorsale,14.2833,2,10.8653,25.3,1.625,829.0,73.5,False,3,,4,
Rhododendron baileyi,14.2833,2,5.72917,18.8,0.487502,775.75,95.25,False,9,,8,
Rhododendron brachypodum,14.2833,2,16.6542,31.4,7.0,1172.0,64.0,False,,,1,
Rhododendron diversipilosum,14.2833,2,5.50417,22.0,-4.61667,900.0,146.0,False,7,,31,
Rhododendron gongshanense,14.2833,2,8.57708,20.125,2.65833,1077.25,101.0,False,3,,16,
Rhododendron heatherae,14.2833,2,5.43681,18.125,-0.387499,986.25,118.25,False,3,,2,
Rhododendron hypoleucum,14.2833,2,2.54028,22.275,-8.29583,865.75,117.0,False,13,,18,
Rhododendron menziesii,14.2833,2,7.35694,21.2,0.125,1312.0,154.5,False,4,,499,
Rhododendron recurvoides,14.2833,2,7.6125,22.1,1.04167,676.0,128.5,False,2,,2,
Rhododendron tephropeploides,14.2833,2,10.9694,19.6,5.19167,1308.5,90.0,False,1,,1,
Rhododendron tomentosum,14.2833,2,4.50972,21.8,-3.70833,706.0,126.0,False,21,,9733,
Rhododendron tubiforme,14.2833,2,8.60139,20.7,2.45,991.5,129.75,False,2,,3,
Rhodothamnus chamaecistus,14.2833,2,5.85139,20.1,-0.812502,1066.25,192.0,False,29,,2168,
Ribes acerifolium,14.2833,2,6.39166,24.85,-0.666667,1521.75,213.5,False,1,,228,
Ribes cucullatum,14.2833,2,8.02222,20.2,2.58333,739.5,123.0,False,12,,81,
Rosa rugosa,14.2833,2,9.00416,23.45,1.85,801.0,150.5,False,1,,8892,
Rosa sherardii,14.2833,2,8.42639,21.4,2.1,770.5,155.25,False,35,,6359,
Rubus alaskensis,14.2833,2,0.760417,17.65,-9.63333,739.0,103.0,False,,,6,
Rubus chamaemorus,14.2833,2,4.83194,21.1,-2.65,719.0,131.0,False,26,,9696,
Rubus laciniatus,14.2833,2,9.49653,22.8,2.29583,900.75,138.75,False,3,,8177,
Rubus pedatus,14.2833,2,6.67499,21.35,0.841665,1439.0,179.5,False,7,,316,
Rubus pubescens,14.2833,2,6.46805,25.925,-5.67917,906.5,163.75,False,12,,6842,
Salix breviserrata,14.2833,2,3.58194,18.55,-2.32917,1028.5,190.25,False,13,,1436,
Salix candida,14.2833,2,5.94028,25.4,-6.02083,823.0,139.5,False,18,,1798,
Salix jejuna,14.2833,2,2.99375,21.35,-7.3375,912.75,171.5,False,7,,16,
Salix lapponum,14.2833,2,2.78403,20.475,-4.975,691.75,123.75,False,42,,9414,
Salix nakamurana,14.2833,2,3.65,19.05,-2.17917,1004.25,174.75,False,7,,132,
Salvia glutinosa,14.2833,2,9.0986,24.3,1.425,957.0,174.5,False,1,,882,
Saponaria bellidifolia,14.2833,2,8.29583,22.7,1.20834,765.0,156.0,False,5,,121,
Saxifraga burseriana,14.2833,2,5.80556,19.85,-0.604167,1105.0,200.75,False,21,,228,
Saxifraga caesia,14.2833,2,4.85556,19.125,-1.45417,1092.25,200.25,False,25,,32,
Saxifraga cotyledon,14.2833,2,5.5,19.7,-0.958332,953.5,170.0,False,56,,636,
Saxifraga crustata,14.2833,2,4.9375,19.15,-1.45,1238.0,218.0,False,57,,267,
Saxifraga federici-augusti,14.2833,2,7.59028,22.8,0.149998,775.5,142.5,False,3,,25,
Saxifraga ferdinandi-coburgi,14.2833,2,7.27014,22.0,-0.349998,685.75,123.0,False,18,,3,
Scandosorbus intermedia,14.2833,2,8.02639,20.8,1.39167,737.0,137.0,False,3,,935,
Schisandra perulata,14.2833,2,22.4833,32.8,19.3167,1001.0,21.0,False,1,,2,
Sedum tenellum,14.2833,2,3.90972,18.6,-1.7,876.5,167.0,False,4,,196,
Sempervivum ingwersenii,14.2833,2,3.80973,19.6,-2.76667,919.5,166.0,False,8,,6,
Sempervivum ruthenicum,14.2833,2,7.79514,23.85,-1.55,604.75,107.75,False,18,,625,
Sempervivum wulfenii,14.2833,2,4.28889,19.1,-1.97083,988.75,175.0,False,4,,24,
Seseli osseum,14.2833,2,9.33334,23.775,1.15417,641.75,112.5,False,6,,191,
Sesleria sadleriana,14.2833,2,9.44861,24.4,0.808333,641.5,123.0,False,13,,34,
Sibbaldia parviflora,14.2833,2,3.68333,19.4,-3.77917,915.25,177.0,False,17,,239,
Sidalcea hendersonii,14.2833,2,9.69098,22.15,3.01667,1278.25,149.0,False,3,,236,
Silene suksdorfii,14.2833,2,3.64167,20.7,-2.32917,1486.25,206.0,False,2,,75,
Silene wahlbergella,14.2833,2,0.810417,18.075,-6.12917,666.25,71.25,False,6,,2719,
Siler montanum,14.2833,2,6.88819,22.475,-1.49583,1088.75,215.25,False,2,,481,
Skimmia anquetilia,14.2833,2,10.1472,21.55,4.05833,870.75,129.75,False,9,,3,
Soldanella alpina,14.2833,2,5.51806,19.925,-1.16667,1072.5,202.0,False,52,,7532,
Sorbus bissetii,14.2833,2,9.54514,21.325,3.85,1130.75,155.5,False,13,,2,
Sorbus glabriuscula,14.2833,2,9.21667,20.9,3.83333,700.5,148.0,False,2,,14,
Sorbus pseudohupehensis,14.2833,2,6.875,22.2,-0.724999,724.5,138.75,False,17,,3,
Sorbus pseudovilmorinii,14.2833,2,7.02083,19.2,1.05833,790.0,102.5,False,26,,28,
Stenanthium diffusum,14.2833,2,12.3306,29.3,1.39167,1284.5,281.5,False,1,,13,
Symphoricarpos hesperius,14.2833,2,8.15139,23.475,1.3125,1095.25,106.0,False,14,,122,
Symphytum ibericum,14.2833,2,10.2896,22.825,3.86667,717.0,152.25,False,12,,183,
Synthyris wyomingensis,14.2833,2,5.72084,27.9,-2.875,462.0,62.5,False,2,,846,
Tephroseris integrifolia,14.2833,2,5.08194,21.4,-2.20833,693.0,118.0,False,3,,438,
Thymus brachychilus,14.2833,2,2.5125,20.8,-7.18333,580.0,34.0,False,1,,4,
Tongpeia fungosa,14.2833,2,12.2514,25.55,8.21251,932.0,78.5,False,3,,2,
Triantha glutinosa,14.2833,2,5.91528,21.75,-1.5125,822.5,145.0,False,2,,2354,
Trillium hibbersonii,14.2833,2,8.26389,20.5,1.69167,1991.0,219.5,False,3,,72,
Trollius altaicus,14.2833,2,2.35556,21.625,-6.80417,630.75,91.75,False,24,,34,
Trollius europaeus,14.2833,2,6.33611,21.55,-1.0,904.5,162.5,False,18,,899,
Trollius kytmanovii,14.2833,2,1.55625,24.175,-12.3708,620.75,86.5,False,2,,277,
Trollius laxus,14.2833,2,3.30694,21.45,-4.04167,768.5,147.0,False,23,,1958,
Vaccinium deliciosum,14.2833,2,5.37014,20.95,-1.0125,1302.0,160.25,False,7,,386,
Verbascum rupicola,14.2833,2,6.20417,24.9,-3.91667,519.0,25.0,False,,,2,
Veronica albicans,14.2833,2,9.15833,20.425,4.5125,1617.5,304.0,False,12,,242,
Veronica baylyi,14.2833,2,9.2611,19.85,4.60833,1355.5,271.5,False,5,,78,
Veronica brachysiphon,14.2833,2,8.93751,20.35,4.02917,1188.75,238.75,False,8,,277,
Veronica buchananii,14.2833,2,7.20694,19.7,2.47083,1819.25,311.0,False,7,,41,
Veronica decora,14.2833,2,8.53056,19.75,4.19583,1856.5,319.75,False,5,,395,
Veronica lavaudiana,14.2833,2,10.9153,20.9,5.33333,883.0,169.75,False,4,,229,
Veronica lycopodioides,14.2833,2,7.29306,19.3,2.93334,1952.5,358.0,False,5,,672,
Veronica macrantha,14.2833,2,7.68889,18.975,3.50417,2100.75,385.75,False,4,,551,
Veronica ochracea,14.2833,2,7.78472,19.625,3.075,2041.75,384.75,False,5,,5,
Veronica rupicola,14.2833,2,9.04861,20.7,4.6875,1342.75,262.75,False,3,,118,
Veronica salicornioides,14.2833,2,7.78541,20.675,3.4125,1644.5,277.25,False,4,,16,
Viola biflora,14.2833,2,4.45695,19.65,-2.35,978.5,169.5,False,35,,7522,
Viola howellii,14.2833,2,9.80694,24.0,2.74167,1002.75,120.5,False,8,,122,
Viscaria alpina,14.2833,2,1.92083,18.0,-5.19167,811.25,145.25,False,12,,6855,
Woodsia ilvensis,14.2833,2,5.73056,21.45,-3.56667,744.5,122.5,False,28,,8782,
Zephyranthes brachyandra,14.2833,2,17.7931,28.0,10.8667,937.0,143.0,False,1,,36,
Castanopsis calathiformis,14.2833,2,19.9625,29.8333,14.9667,1608.0,64.1667,True,3,,32,141
Castanopsis purpurella,14.2833,2,20.4802,31.4667,11.9111,1658.0,130.333,True,1,,1,1
Crataegus schuettei,14.2833,2,8.22917,26.0,-3.90556,872.667,176.0,True,4,,52,26
Crataegus submollis,14.2833,2,6.45618,24.058,-5.1355,772.75,138.625,True,5,1,227,112
Larix lyallii,14.2833,2,2.90296,20.0607,-4.14156,861.333,152.333,True,8,,145,92
Rhododendron erosum,14.2833,2,3.77709,17.2333,-2.65,751.0,69.3333,True,14,,3,1
Rhododendron exasperatum,14.2833,2,7.99375,18.9833,2.10556,1154.67,89.1667,True,1,,1,2
Rhododendron hirtipes,14.2833,2,4.76459,17.45,-1.68611,703.333,60.6667,True,18,,11,2
Rhododendron rothschildii,14.2833,2,8.20729,18.1,1.40556,853.0,92.6667,True,18,,1,9
Rhododendron spilotum,14.2833,2,9.80349,20.7,4.24583,1244.75,180.75,True,6,,1,
Salix bebbiana,14.2833,2,4.31451,25.321,-8.6055,741.875,113.875,True,23,1,4454,3393
