Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Magnolia fordiana,9.98333,3,18.0923,31.205,9.46525,1367.75,152.375,True,16,5,72,128
Magnolia foveolata,9.98333,3,17.4471,30.405,8.27417,1481.88,147.5,True,23,1,63,133
Magnolia yunnanensis,9.98333,3,15.6255,26.1405,8.87358,1251.12,74.125,True,14,1,6,16
Polyspora axillaris,9.98333,3,18.74,27.5053,12.418,2060.67,150.0,True,18,,539,861
Adiantum shastense,9.98333,5,14.6326,30.1,8.06667,1120.0,24.5,False,3,,157,
Arctostaphylos manzanita,9.98333,5,14.5055,29.0,8.875,862.25,11.5,False,18,,232,
Aria caloneura,9.98333,5,16.6667,30.9,6.85,1368.0,90.0,False,,,219,
Aria folgneri,9.98333,5,16.2458,31.1,6.15833,1282.5,88.5,False,,,313,
Aria hemsleyi,9.98333,5,15.6854,29.6,6.025,1184.5,61.5,False,,,153,
Aria megalocarpa,9.98333,5,16.3229,29.15,6.50833,1197.5,63.5,False,,,78,
Brewerimitella breweri,9.98333,5,7.56597,24.475,3.8125,845.5,63.25,False,3,,752,
Castilleja arachnoidea,9.98333,5,7.34722,25.275,1.0875,1200.75,137.5,False,4,,66,
Ceanothus lemmonii,9.98333,5,14.0188,31.25,7.99583,1000.25,19.5,False,9,,274,
Centaurea gymnocarpa,9.98333,5,16.2021,29.675,9.85001,568.75,41.75,False,8,,1,
Chaenorhinum villosum,9.98333,5,15.4347,33.4,8.75832,562.0,26.0,False,1,,614,
Cheilanthes quadripinnata,9.98333,5,15.5062,26.05,11.2625,704.75,52.5,False,4,,44,
Chrysolepis sempervirens,9.98333,5,9.41251,27.4,4.59167,777.5,26.5,False,3,,2117,
Clematis finetiana,9.98333,5,17.0292,31.775,7.725,1245.25,121.0,False,9,,437,
Diospyros austroafricana,9.98333,5,16.075,30.65,10.1,478.25,43.5,False,5,,62,
Eremogone gypsophiloides,9.98333,5,7.54653,23.725,-1.34583,646.75,111.0,False,3,,48,
Eriodictyon californicum,9.98333,5,14.1299,30.075,8.35833,809.75,36.25,False,6,,673,
Heliotropium curassavicum,9.98333,5,17.1486,30.4,12.0792,550.5,41.75,False,14,,9634,
Hemieva ranunculifolia,9.98333,5,5.0,23.6,-4.01667,848.5,115.5,False,1,,334,
Heptapleurum delavayi,9.98333,5,16.0945,28.475,8.22917,1221.0,107.25,False,2,,36,
Heptapleurum fantsipanense,9.98333,5,12.95,20.3,7.5,2028.0,36.0,False,,,12,
Hesperocyparis sargentii,9.98333,5,13.5944,26.775,9.04167,941.0,11.0,False,9,,686,
Hibbertia obtusifolia,9.98333,5,14.2472,27.55,8.98333,802.5,149.0,False,1,,881,
Hosackia gracilis,9.98333,5,13.5139,24.7,10.1417,889.5,12.0,False,8,,1368,
Kniphofia albescens,9.98333,5,13.559,23.95,7.75,838.75,100.25,False,5,,31,
Lithocarpus grandifolius,9.98333,5,21.2931,28.975,16.525,1605.25,68.75,False,3,,432,
Lonicera ferruginea,9.98333,5,18.0257,29.325,10.65,1455.25,80.25,False,5,,85,
Lonicera semenovii,9.98333,5,0.518749,20.05,-9.825,440.5,61.25,False,2,,15,
Majovskya sudetica,9.98333,5,5.59792,19.45,-2.33333,1120.5,179.5,False,,,19,
Micranthes ferruginea,9.98333,5,7.81666,22.55,4.05833,1290.0,96.5,False,2,,2346,
Myriopteris lanosa,9.98333,5,14.1486,30.65,4.575,1175.5,248.5,False,5,,1614,
Nassella cernua,9.98333,5,15.6236,30.7,9.47083,514.75,9.0,False,9,,759,
Nekemias megalophylla,9.98333,5,14.4452,28.35,4.72917,953.5,103.25,False,2,,154,
Orthocarpus cuspidatus,9.98333,5,7.76667,25.875,0.816668,931.75,126.25,False,4,,799,
Phedimus florifer,9.98333,5,8.52222,23.9,-0.2,657.0,108.5,False,1,,12,
Pittosporum subulisepalum,9.98333,5,16.4028,32.35,4.85834,1290.5,198.5,False,4,,6,
Polystichum kruckebergii,9.98333,5,6.48054,22.65,2.36667,895.0,76.25,False,2,,223,
Polystichum scopulinum,9.98333,5,8.69514,25.475,3.88334,728.75,59.0,False,3,,485,
Pseudocyclosorus subochthodes,9.98333,5,18.5417,31.55,10.6375,1574.25,129.0,False,4,,155,
Rhododendron anthopogonoides,9.98333,5,4.67917,21.2,-6.4,461.0,6.0,False,,,49,
Ribes acerifolium,9.98333,5,6.39166,24.85,-0.666667,1521.75,213.5,False,1,,228,
Rosa laevigata,9.98333,5,16.1139,29.0,6.775,1166.5,170.0,False,1,,1552,
Salvia guaranitica,9.98333,5,16.5924,29.125,10.0542,925.75,161.25,False,44,,38,
Sambucus mexicana,9.98333,5,16.9514,29.725,12.6292,659.75,19.75,False,22,,1245,
Sanicula bipinnatifida,9.98333,5,14.3486,29.075,9.475,773.0,10.0,False,8,,4542,
Saxifraga stolonifera,9.98333,5,13.4042,27.25,4.35,1167.5,162.0,False,1,,198,
Scabiosa drakensbergensis,9.98333,5,13.4889,24.875,7.4625,843.5,91.25,False,7,,13,
Senecio barbatus,9.98333,5,13.1264,27.475,5.35,675.5,47.75,False,1,,98,
Silene suksdorfii,9.98333,5,3.64167,20.7,-2.32917,1486.25,206.0,False,2,,75,
Smelowskia ovalis,9.98333,5,5.72777,21.7,2.375,1166.5,102.0,False,2,,123,
Solidago simplex,9.98333,5,5.66807,26.825,-2.8125,643.25,116.0,False,2,,1379,
Sorbus decaisneana,9.98333,5,16.3021,30.2,6.58333,1278.5,75.0,False,,,115,
Stauntonia angustifolia,9.98333,5,15.3861,29.9,7.3125,980.5,80.5,False,5,,27,
Stauntonia obovata,9.98333,5,17.1639,27.55,9.64166,1318.0,93.5,False,1,,22,
Stranvaesia undulata,9.98333,5,13.6431,24.15,5.40833,1157.5,126.5,False,2,,29,
Styrax faberi,9.98333,5,17.8417,28.4,9.38333,1271.5,129.0,False,1,,375,
Verbena corymbosa,9.98333,5,15.1417,24.3,11.3833,1661.0,350.0,False,1,,33,
Veronica decumbens,9.98333,5,8.79307,21.35,4.3,1451.0,276.0,False,6,,193,
Veronica epacridea,9.98333,5,7.72918,19.925,3.76667,1912.25,333.0,False,5,,486,
Veronica macrantha,9.98333,5,7.68889,18.975,3.50417,2100.75,385.75,False,4,,551,
Veronica odora,9.98333,5,8.96529,20.625,5.0625,1799.25,323.25,False,6,,1799,
Yua thomsonii,9.98333,5,16.0958,29.25,6.28333,1120.25,97.5,False,4,,214,
Zantedeschia aethiopica,9.98333,5,13.6403,25.25,7.03333,825.0,121.5,False,1,,9731,
Zantedeschia jucunda,9.98333,5,15.0083,25.3,8.50417,756.0,78.75,False,7,,7,
Arctostaphylos catalinae,9.98333,5,16.4219,27.8667,12.5194,375.333,4.66667,True,9,,112,19
Arctostaphylos glauca,9.98333,5,15.0417,31.3233,9.61055,467.0,9.5,True,18,,1237,2661
Bretschneidera sinensis,9.98333,5,18.6782,31.084,10.0947,1797.0,235.0,True,26,5,27,175
Brucea javanica,9.98333,5,23.9682,31.3867,18.6761,1659.62,83.375,True,18,2,88,87
Castanopsis orthacantha,9.98333,5,16.5344,26.25,10.7139,1053.17,49.6667,True,3,,46,166
Cinnamomum yabunikkei,9.98333,5,14.9147,29.388,5.501,1744.83,211.167,True,2,,249,5
Cornus chinensis,9.98333,5,14.3724,26.5,5.65278,1167.67,80.8333,True,14,,81,372
Lithocarpus cleistocarpus,9.98333,5,16.0221,30.623,6.30417,1299.25,120.75,True,6,1,15,21
Lithocarpus hancei,9.98333,5,18.0193,29.67,11.2862,1858.0,135.0,True,12,3,723,149
Lithocarpus mairei,9.98333,5,16.3271,25.9833,10.6556,1040.83,49.0,True,3,,11,35
Litsea cubeba,9.98333,5,17.4288,30.155,9.14217,1546.0,131.5,True,2,7,1141,299
Litsea moupinensis,9.98333,5,15.0797,26.5667,7.26111,1168.0,53.3333,True,1,,5,143
Litsea populifolia,9.98333,5,15.1885,26.7667,7.36111,1229.67,60.8333,True,5,,35,27
Nyssa ogeche,9.98333,5,16.9107,32.357,7.44083,1116.62,195.625,True,27,1,88,35
Ternstroemia gymnanthera,9.98333,5,14.7693,27.252,7.32234,1425.75,136.5,True,1,13,711,18
Viburnum tinus,9.98333,5,13.1503,26.6807,6.53778,749.667,137.667,True,1,22,45676,
Actinidia hemsleyana,9.98333,6,16.3389,31.025,4.74583,1238.5,162.25,False,5,,54,
Agave bracteosa,9.98333,6,17.1917,29.275,9.71667,589.75,83.5,False,85,,31,
Agave gentryi,9.98333,6,14.8847,27.375,11.2,541.0,36.75,False,14,,298,
Allium splendens,9.98333,6,1.27778,23.25,-10.9625,608.0,83.5,False,19,,1225,
Angelica capitellata,9.98333,6,7.06251,23.425,2.13333,796.0,67.25,False,2,,185,
Aralia hispida,9.98333,6,6.71667,24.2,-3.64167,991.5,193.5,False,13,,3745,
Arisaema bockii,9.98333,6,14.6813,28.925,5.80417,1111.25,107.5,False,8,,22,
Artemisia afra,9.98333,6,15.884,26.7,10.75,730.5,68.5,False,25,,47,
Astragalus whitneyi,9.98333,6,7.55278,25.975,1.40833,733.5,118.25,False,6,,1125,
Atocion rupestre,9.98333,6,5.45417,20.425,-2.78333,960.0,176.25,False,8,,731,
Baccharis pilularis,9.98333,6,14.5653,26.55,9.71667,632.25,10.0,False,31,,993,
Beesia deltophylla,9.98333,6,14.7431,28.625,4.49583,1315.0,112.0,False,1,,3,
Begonia formosana,9.98333,6,17.6347,27.1,10.0667,1905.0,277.0,False,17,,126,
Brassica cretica,9.98333,6,16.1833,29.8,8.3,669.5,51.0,False,9,,487,
Callicarpa americana,9.98333,6,17.5444,31.85,7.70833,1168.0,196.0,False,14,,9756,
Ceanothus cuneatus,9.98333,6,14.0507,28.525,8.89583,731.75,24.5,False,21,,5735,
Ceanothus megacarpus,9.98333,6,16.0854,28.075,11.1833,465.25,6.25,False,1,,1298,
Cercis occidentalis,9.98333,6,14.6556,31.0,7.94167,664.5,41.5,False,51,,244,
