AccNoFull,ItemAccNoFull,GenusSpecies,Genus,ItemLocationCode,LocationName,ManagedBy,LocationCoordY,LocationCoordX,LifeForm,ProvenanceCode,LocationCoordLatDD,LocationCoordLongDD,LocComment,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,TaxonName,TaxonNameFull,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,Family
2022-0223,2022-0223.87,Acer fabri,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,G,49.249515,-123.234415,,Planting,,,,,,Acer fabri,Acer fabri Hance,6,9,9,9,Sapindaceae
2022-0059,2022-0059.88,Acer monspessulanum,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,,,,Mt. Hermon,"LBN: Mt. Hermon, 1400 m",Acer monspessulanum subsp. microphyllum,Acer monspessulanum subsp. microphyllum (Boiss.) Bornm.,11,11,8,6,Sapindaceae
2020-0389,2020-0389.86,Acer opalus,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub or Tree,W,49.249515,-123.234415,,Planting,,,,Sant’Antonio - Palena,"ITA: Sant’Antonio - Palena, 1000 m",Acer opalus subsp. obtusatum,Acer opalus Mill. subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams,11,9,6,6,Sapindaceae
2010-0687,2010-0687.88,Acer pentaphyllum,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Shrub or Tree,W,49.249515,-123.234415,,Planting,Critically Endangered,,,"Yajiang, road from Yalong to Milong","CHN: Sichuan Province, Yajiang, road from Yalong to Milong, 2579 m, 29.80938703 | 101.096116",Acer pentaphyllum,Acer pentaphyllum Diels,11,11,11,9,Sapindaceae
2024-0400,2024-0400.88,Acer pycnanthum,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,Vulnerable,,,"Mizunami, Ookute","JPN: Gifu Prefecture, Mizunami, Ookute, 35.43522 | 137.27623",Acer pycnanthum,Acer pycnanthum K.Koch,,,,,Sapindaceae
2022-0563,2022-0563.88,Acer saccharum,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,W,49.249515,-123.234415,,Planting,,,,Marden Tract,"CAN: Ontario, Wellington County, Marden Tract, 355 m, 43.57331 | -80.308473",Acer saccharum subsp. nigrum,Acer saccharum subsp. nigrum (F.Michx.) Desmarais,11,9,6,6,Sapindaceae
2023-0157,2023-0157.88,Acer tataricum,Acer,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Tree,G,49.249515,-123.234415,,Planting,,,,,,Acer tataricum subsp. semenovii,Acer tataricum Regel & Herder subsp. semenovii A.E.Murray,11,11,8,8,Sapindaceae
2021-0100,2021-0100.88,Aconitum anthora,Aconitum,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Aconitum anthora,Aconitum anthora L.,9,5,2,2,Ranunculaceae
2023-0376,2023-0376.88,Aconitum carmichaelii,Aconitum,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Aconitum carmichaelii Arendsii Group,Aconitum carmichaelii Arendsii Group,9,11,11,11,Ranunculaceae
2023-0269,2023-0269.88,Adiantum shastense,Adiantum,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,Z,49.249515,-123.234415,,Planting,,,,,,Adiantum shastense,Adiantum shastense Huiet & A.R.Sm.,5,8,11,11,Pteridaceae
2023-0329,2023-0329.88,Agastache aurantiaca,Agastache,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Agastache aurantiaca,Agastache aurantiaca (A.Gray) Lint. & Epling.,9,11,11,11,Lamiaceae
2024-0056,2024-0056.88,Agastache nepetoides,Agastache,8,Nursery,Kevin Kubeck,-123.234415,49.249515,Herbaceous Perennial,G,49.249515,-123.234415,,Planting,,,,,,Agastache nepetoides,Agastache nepetoides (L.) Kuntze,11,11,8,6,Lamiaceae
