AccNoFull,ItemAccNoFull,Family,Genus,GenusSpecies,TaxonName,ItemLocationCode,LocationName,LocationCoordLatDD,LocationCoordLongDD,ManagedBy,ItemType,ProvenanceCode,IUCNRedList,NationalRedList,RegionalRedList,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,LocalityFull,LifeForm,LocComment,TaxonNameFull,LocationCoordX,LocationCoordY,Locality
2015-0501,2015-0501.04,Oleaceae,Fraxinus,Fraxinus baroniana,Fraxinus baroniana,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,9.0,11.0,11.0,11.0,"CHN: Gansu Province, Hui Xian, Jialingjiang",Shrub or Tree,Original locality is batch imported on 2019 Aug 16;,Fraxinus baroniana Diels,49.250284,-123.245334,"Hui Xian, Jialingjiang"
2018-0843,2018-0843.01,Oleaceae,Fraxinus,Fraxinus griffithii,Fraxinus griffithii,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,G,,,,6.0,9.0,9.0,9.0,,Tree,,Fraxinus griffithii C.B.Clarke,49.250284,-123.245334,
2010-0654,2010-0654.04,Ericaceae,Lyonia,Lyonia ovalifolia,Lyonia ovalifolia,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,9.0,11.0,11.0,11.0,"CHN: Sichuan Province, Daocheng, road from Yading (old Shangri La) to E Chu Shan, 3885 m, 28.55984299 | 100.205541",Shrub,,Lyonia ovalifolia (Wall.) Drude,49.250284,-123.245334,"Daocheng, road from Yading (old Shangri La) to E Chu Shan"
2010-0654,2010-0654.05,Ericaceae,Lyonia,Lyonia ovalifolia,Lyonia ovalifolia,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,9.0,11.0,11.0,11.0,"CHN: Sichuan Province, Daocheng, road from Yading (old Shangri La) to E Chu Shan, 3885 m, 28.55984299 | 100.205541",Shrub,,Lyonia ovalifolia (Wall.) Drude,49.250284,-123.245334,"Daocheng, road from Yading (old Shangri La) to E Chu Shan"
2010-0654,2010-0654.06,Ericaceae,Lyonia,Lyonia ovalifolia,Lyonia ovalifolia,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,9.0,11.0,11.0,11.0,"CHN: Sichuan Province, Daocheng, road from Yading (old Shangri La) to E Chu Shan, 3885 m, 28.55984299 | 100.205541",Shrub,,Lyonia ovalifolia (Wall.) Drude,49.250284,-123.245334,"Daocheng, road from Yading (old Shangri La) to E Chu Shan"
2010-0654,2010-0654.07,Ericaceae,Lyonia,Lyonia ovalifolia,Lyonia ovalifolia,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,9.0,11.0,11.0,11.0,"CHN: Sichuan Province, Daocheng, road from Yading (old Shangri La) to E Chu Shan, 3885 m, 28.55984299 | 100.205541",Shrub,,Lyonia ovalifolia (Wall.) Drude,49.250284,-123.245334,"Daocheng, road from Yading (old Shangri La) to E Chu Shan"
2019-0038,2019-0038.02,Magnoliaceae,Magnolia,Magnolia biondii,Magnolia biondii,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,Least concern,,,9.0,11.0,11.0,11.0,"CHN: Hubei Province, Wufeng, Wangfan, Mazongshan, 1294 m, 30°03.232' N | 110°21.737' E",Tree,Original locality is batch imported on 2019 Aug 16;,Magnolia biondii Pamp.,49.250284,-123.245334,"Wufeng, Wangfan, Mazongshan"
2019-0041,2019-0041.01,Sabiaceae,Meliosma,Meliosma oldhamii,Meliosma oldhamii var. oldhamii,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,9.0,11.0,11.0,11.0,"CHN: Hubei Province, Wufeng, Wangfan, Mazongshan, 1355 m, 30°03.592' N | 110°21.389' E",Tree,Original locality is batch imported on 2019 Aug 16;,Meliosma oldhamii Miq. var. oldhamii,49.250284,-123.245334,"Wufeng, Wangfan, Mazongshan"
2016-0418,2016-0418.41,Pinaceae,Pseudotsuga,Pseudotsuga menziesii,Pseudotsuga menziesii var. menziesii,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,,,Yellow-listed British Columbia,11.0,11.0,8.0,5.0,,Tree,,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,49.250284,-123.245334,
2019-0160,2019-0160.04,Ericaceae,Rhododendron,Rhododendron lanigerum,Rhododendron lanigerum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,9.0,6.0,3.0,2.0,"IND: Upper Dibang District, Anini District, walk from Station 39 Camp 1 (28 58')50.6"" N, 95 47' 24.6"" E, 2020m) via stations 39 (28 58' 49.3"" N, 95 49' 41.0"" E, 2250m), 40 - Rhodo magnificum (28 58' 47.3"" N, 95 49' 47.7"" E, 2338), 40 Picea, 2610 m, 28 58' 47.5"" | 95 50' 20.3""",Shrub or Tree,"Original locality is batch imported on 2019 Aug 16; (28 58' 47.4"" N, 95 49' 52.9"" E, 2350m), 40 (28 58' 46.2"" N, 95 49' 59.8"" E, 2546m), to 41 Picea farreri Camp 2 (28 58' 47.5"" N, 95 50' 20.3"" E, 2610m):",Rhododendron lanigerum Tagg,49.250284,-123.245334,"Upper Dibang District, Anini District, walk from Station 39 Camp 1 (28 58')50.6"" N, 95 47' 24.6"" E, 2020m) via stations 39 (28 58' 49.3"" N, 95 49' 41.0"" E, 2250m), 40 - Rhodo magnificum (28 58' 47.3"" N, 95 49' 47.7"" E, 2338), 40 Picea"
2010-0655,2010-0655.01,Ericaceae,Rhododendron,Rhododendron oreodoxa,Rhododendron oreodoxa var. fargesii,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, Daocheng, road from Yading (old Shangri La) to E Chu Shan, 3903 m, 28.55940999 | 100.206236",Shrub,,Rhododendron oreodoxa Franch. var. fargesii (Franch.) D.F.Chamb.,49.250284,-123.245334,"Daocheng, road from Yading (old Shangri La) to E Chu Shan"
2010-0655,2010-0655.02,Ericaceae,Rhododendron,Rhododendron oreodoxa,Rhododendron oreodoxa var. fargesii,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, Daocheng, road from Yading (old Shangri La) to E Chu Shan, 3903 m, 28.55940999 | 100.206236",Shrub,,Rhododendron oreodoxa Franch. var. fargesii (Franch.) D.F.Chamb.,49.250284,-123.245334,"Daocheng, road from Yading (old Shangri La) to E Chu Shan"
2010-0655,2010-0655.04,Ericaceae,Rhododendron,Rhododendron oreodoxa,Rhododendron oreodoxa var. fargesii,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, Daocheng, road from Yading (old Shangri La) to E Chu Shan, 3903 m, 28.55940999 | 100.206236",Shrub,,Rhododendron oreodoxa Franch. var. fargesii (Franch.) D.F.Chamb.,49.250284,-123.245334,"Daocheng, road from Yading (old Shangri La) to E Chu Shan"
2010-0281,2010-0281.01,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.02,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.03,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.04,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.05,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.06,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.07,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.08,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.09,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
2010-0281,2010-0281.10,Ericaceae,Rhododendron,Rhododendron racemosum,Rhododendron racemosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,11.0,"CHN: Sichuan Province, along the road from Xichang to Meigu, 3182 m, 27.85475 | 102.48706",Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron racemosum Franch.,49.250284,-123.245334,along the road from Xichang to Meigu
1996-0605,1996-0605.02,Ericaceae,Rhododendron,Rhododendron uvariifolium,Rhododendron uvariifolium var. griseum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,8.0,6.0,"CHN: Xizang (Tibet), Koro R., Sekye La to Ningchi, Ningchi Co., 3840 m",Shrub,Original locality is batch imported on 2019 Aug 16; original spelling: Nyingchi Co.,Rhododendron uvariifolium Diels var. griseum Cowan,49.250284,-123.245334,"Koro R., Sekye La to Ningchi, Ningchi Co."
1996-0605,1996-0605.03,Ericaceae,Rhododendron,Rhododendron uvariifolium,Rhododendron uvariifolium var. griseum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,8.0,6.0,"CHN: Xizang (Tibet), Koro R., Sekye La to Ningchi, Ningchi Co., 3840 m",Shrub,Original locality is batch imported on 2019 Aug 16; original spelling: Nyingchi Co.,Rhododendron uvariifolium Diels var. griseum Cowan,49.250284,-123.245334,"Koro R., Sekye La to Ningchi, Ningchi Co."
2015-0036,2015-0036.03,Ericaceae,Rhododendron,Rhododendron vernicosum,Rhododendron vernicosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,8.0,CHN: no specific location,Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron vernicosum Franch.,49.250284,-123.245334,no specific location
2015-0036,2015-0036.04,Ericaceae,Rhododendron,Rhododendron vernicosum,Rhododendron vernicosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,8.0,CHN: no specific location,Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron vernicosum Franch.,49.250284,-123.245334,no specific location
2015-0036,2015-0036.05,Ericaceae,Rhododendron,Rhododendron vernicosum,Rhododendron vernicosum,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,W,,,,11.0,11.0,11.0,8.0,CHN: no specific location,Shrub,Original locality is batch imported on 2019 Aug 16;,Rhododendron vernicosum Franch.,49.250284,-123.245334,no specific location
2012-0560,2012-0560.20,Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys verticillata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,G,Near threatened,,,11.0,11.0,8.0,5.0,,Tree,,Sciadopitys verticillata Siebold & Zucc.,49.250284,-123.245334,
2012-0560,2012-0560.24,Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys verticillata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Planting,G,Near threatened,,,11.0,11.0,8.0,5.0,,Tree,,Sciadopitys verticillata Siebold & Zucc.,49.250284,-123.245334,
2016-0421,2016-0421.214,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250284,-123.245334,
2016-0421,2016-0421.215,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250284,-123.245334,
2016-0421,2016-0421.216,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250284,-123.245334,
2016-0421,2016-0421.217,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250284,-123.245334,
2016-0421,2016-0421.218,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250284,-123.245334,
2016-0421,2016-0421.219,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250284,-123.245334,
2016-0421,2016-0421.220,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250284,-123.245334,
2016-0420,2016-0420.58,Pinaceae,Tsuga,Tsuga heterophylla,Tsuga heterophylla,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,8.0,6.0,3.0,,Tree,,Tsuga heterophylla Sarg.,49.250284,-123.245334,
2016-0420,2016-0420.59,Pinaceae,Tsuga,Tsuga heterophylla,Tsuga heterophylla,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,8.0,6.0,3.0,,Tree,,Tsuga heterophylla Sarg.,49.250284,-123.245334,
2016-0420,2016-0420.60,Pinaceae,Tsuga,Tsuga heterophylla,Tsuga heterophylla,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,8.0,6.0,3.0,,Tree,,Tsuga heterophylla Sarg.,49.250284,-123.245334,
2016-0420,2016-0420.61,Pinaceae,Tsuga,Tsuga heterophylla,Tsuga heterophylla,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,8.0,6.0,3.0,,Tree,,Tsuga heterophylla Sarg.,49.250284,-123.245334,
2016-0420,2016-0420.62,Pinaceae,Tsuga,Tsuga heterophylla,Tsuga heterophylla,3AL3,Asian Garden,49.250284,-123.245334,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,8.0,6.0,3.0,,Tree,,Tsuga heterophylla Sarg.,49.250284,-123.245334,
2016-0419,2016-0419.63,Pinaceae,Abies,Abies grandis,Abies grandis,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Abies grandis (Douglas ex D.Don) Lindl.,49.250523,-123.245235,
2002-0337,2002-0337.02,Sapindaceae,Acer,Acer crataegifolium,Acer crataegifolium,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,11.0,11.0,8.0,"JPN: Mt Akagi, 2300ft., 701 m",Shrub or Tree,Original locality is batch imported on 2019 Aug 16;,Acer crataegifolium Siebold & Zucc.,49.250523,-123.245235,"Mt Akagi, 2300ft."
2002-0337,2002-0337.03,Sapindaceae,Acer,Acer crataegifolium,Acer crataegifolium,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,11.0,11.0,8.0,"JPN: Mt Akagi, 2300ft., 701 m",Shrub or Tree,Original locality is batch imported on 2019 Aug 16;,Acer crataegifolium Siebold & Zucc.,49.250523,-123.245235,"Mt Akagi, 2300ft."
2002-0394,2002-0394.01,Sapindaceae,Acer,Acer davidii,Acer davidii,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,11.0,11.0,11.0,"CHN: Sichuan Province, Emei Shan (Mt. Omei), 700 m",Tree,Original locality is batch imported on 2019 Aug 16;,Acer davidii Franch.,49.250523,-123.245235,Emei Shan (Mt. Omei)
2011-0905,2011-0905.01,Sapindaceae,Acer,Acer henryi,Acer henryi,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,9.0,11.0,11.0,"CHN: Shaanxi Province, Huang Hua Ling, Niubeiliang, 1235 m, 33.484880 | 108.59720",Tree,Original locality is batch imported on 2019 Aug 16;,Acer henryi Pax,49.250523,-123.245235,"Huang Hua Ling, Niubeiliang"
2016-0417,2016-0417.31,Sapindaceae,Acer,Acer macrophyllum,Acer macrophyllum,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,,,Yellow-listed British Columbia,11.0,11.0,11.0,8.0,,Tree,,Acer macrophyllum Pursh,49.250523,-123.245235,
2016-0417,2016-0417.32,Sapindaceae,Acer,Acer macrophyllum,Acer macrophyllum,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,,,Yellow-listed British Columbia,11.0,11.0,11.0,8.0,,Tree,,Acer macrophyllum Pursh,49.250523,-123.245235,
2016-0417,2016-0417.33,Sapindaceae,Acer,Acer macrophyllum,Acer macrophyllum,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,,,Yellow-listed British Columbia,11.0,11.0,11.0,8.0,,Tree,,Acer macrophyllum Pursh,49.250523,-123.245235,
2012-0561,2012-0561.03,Sapindaceae,Acer,Acer morifolium,Acer morifolium,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,5.0,8.0,11.0,JPN: Yakushima,Tree,Original locality is batch imported on 2019 Aug 16;,Acer morifolium Koidz.,49.250523,-123.245235,Yakushima
2011-0923,2011-0923.01,Sapindaceae,Acer,Acer tsinglingense,Acer tsinglingense,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,11.0,11.0,8.0,"CHN: Gansu Province, Tian Shui, Guan Yin, Ma Song Tou, 1630 m",Tree,Original locality is batch imported on 2019 Aug 16;,Acer tsinglingense Fang & Hsieh,49.250523,-123.245235,"Tian Shui, Guan Yin, Ma Song Tou"
2019-0017,2019-0017.01,Sapindaceae,Acer,Acer wilsonii,Acer wilsonii,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,,,,9.0,9.0,9.0,8.0,"CHN: Hubei Province, Wufeng, Wangfan, Mazongshan, 1250 m, 30°03.311' N | 110°21.445' E",Tree,Original locality is batch imported on 2019 Aug 16;,Acer wilsonii Rehder,49.250523,-123.245235,"Wufeng, Wangfan, Mazongshan"
2019-0017,2019-0017.02,Sapindaceae,Acer,Acer wilsonii,Acer wilsonii,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,,,,9.0,9.0,9.0,8.0,"CHN: Hubei Province, Wufeng, Wangfan, Mazongshan, 1250 m, 30°03.311' N | 110°21.445' E",Tree,Original locality is batch imported on 2019 Aug 16;,Acer wilsonii Rehder,49.250523,-123.245235,"Wufeng, Wangfan, Mazongshan"
2016-0422,2016-0422.16,Betulaceae,Alnus,Alnus rubra,Alnus rubra,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Alnus rubra Bong.,49.250523,-123.245235,
2016-0422,2016-0422.17,Betulaceae,Alnus,Alnus rubra,Alnus rubra,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Alnus rubra Bong.,49.250523,-123.245235,
2016-0422,2016-0422.18,Betulaceae,Alnus,Alnus rubra,Alnus rubra,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Alnus rubra Bong.,49.250523,-123.245235,
2016-0422,2016-0422.19,Betulaceae,Alnus,Alnus rubra,Alnus rubra,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Alnus rubra Bong.,49.250523,-123.245235,
2016-0422,2016-0422.20,Betulaceae,Alnus,Alnus rubra,Alnus rubra,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Alnus rubra Bong.,49.250523,-123.245235,
2016-0422,2016-0422.21,Betulaceae,Alnus,Alnus rubra,Alnus rubra,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Alnus rubra Bong.,49.250523,-123.245235,
2016-0422,2016-0422.22,Betulaceae,Alnus,Alnus rubra,Alnus rubra,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,11.0,5.0,5.0,,Tree,,Alnus rubra Bong.,49.250523,-123.245235,
2012-0597,2012-0597.01,Fagaceae,Quercus,Quercus serrata,Quercus serrata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,11.0,11.0,11.0,"JPN: Shikoku Island, Nishi-seto Expressway rest stop, 5.7 km w of Imabari Rail station",Tree,Original locality is batch imported on 2019 Aug 16;,Quercus serrata Murray,49.250523,-123.245235,"Shikoku Island, Nishi-seto Expressway rest stop, 5.7 km w of Imabari Rail station"
2012-0597,2012-0597.02,Fagaceae,Quercus,Quercus serrata,Quercus serrata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,W,Least concern,,,9.0,11.0,11.0,11.0,"JPN: Shikoku Island, Nishi-seto Expressway rest stop, 5.7 km w of Imabari Rail station",Tree,Original locality is batch imported on 2019 Aug 16;,Quercus serrata Murray,49.250523,-123.245235,"Shikoku Island, Nishi-seto Expressway rest stop, 5.7 km w of Imabari Rail station"
2012-0560,2012-0560.01,Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys verticillata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,G,Near threatened,,,11.0,11.0,8.0,5.0,,Tree,,Sciadopitys verticillata Siebold & Zucc.,49.250523,-123.245235,
2012-0560,2012-0560.02,Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys verticillata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,G,Near threatened,,,11.0,11.0,8.0,5.0,,Tree,,Sciadopitys verticillata Siebold & Zucc.,49.250523,-123.245235,
2012-0560,2012-0560.03,Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys verticillata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,G,Near threatened,,,11.0,11.0,8.0,5.0,,Tree,,Sciadopitys verticillata Siebold & Zucc.,49.250523,-123.245235,
2012-0560,2012-0560.04,Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys verticillata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,G,Near threatened,,,11.0,11.0,8.0,5.0,,Tree,,Sciadopitys verticillata Siebold & Zucc.,49.250523,-123.245235,
2012-0560,2012-0560.05,Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,Sciadopitys verticillata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Planting,G,Near threatened,,,11.0,11.0,8.0,5.0,,Tree,,Sciadopitys verticillata Siebold & Zucc.,49.250523,-123.245235,
2016-0421,2016-0421.123,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250523,-123.245235,
2016-0421,2016-0421.124,Cupressaceae,Thuja,Thuja plicata,Thuja plicata,3AL4,Asian Garden,49.250523,-123.245235,Andy Hill,Flora (On-Site Origin),W,Least concern,,Yellow-listed British Columbia,11.0,9.0,6.0,6.0,,Tree,,Thuja plicata Donn ex D.Don,49.250523,-123.245235,
