AccNoFull,ItemAccNoFull,Family,Genus,GenusSpecies,TaxonName,ItemLocationCode,LocationName,LocationCoordLatDD,LocationCoordLongDD,ManagedBy,ItemType,ProvenanceCode,IUCNRedList,NationalRedList,RegionalRedList,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,LocalityFull,LifeForm,LocComment,TaxonNameFull,LocationCoordX,LocationCoordY,Locality
2022-0223,2022-0223.88,Sapindaceae,Acer,Acer fabri,Acer fabri,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,6.0,9.0,9.0,9.0,,Tree,,Acer fabri Hance,49.249515,-123.234415,
2022-0223,2022-0223.87,Sapindaceae,Acer,Acer fabri,Acer fabri,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,6.0,9.0,9.0,9.0,,Tree,,Acer fabri Hance,49.249515,-123.234415,
2022-0059,2022-0059.88,Sapindaceae,Acer,Acer monspessulanum,Acer monspessulanum subsp. microphyllum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,11.0,8.0,6.0,"LBN: Mt. Hermon, 1400 m",Tree,,Acer monspessulanum subsp. microphyllum (Boiss.) Bornm.,49.249515,-123.234415,Mt. Hermon
2020-0389,2020-0389.86,Sapindaceae,Acer,Acer opalus,Acer opalus subsp. obtusatum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,9.0,6.0,6.0,"ITA: Sant’Antonio - Palena, 1000 m",Shrub or Tree,,Acer opalus Mill. subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams,49.249515,-123.234415,Sant’Antonio - Palena
2010-0687,2010-0687.88,Sapindaceae,Acer,Acer pentaphyllum,Acer pentaphyllum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Critically Endangered,,,11.0,11.0,11.0,9.0,"CHN: Sichuan Province, Yajiang, road from Yalong to Milong, 2579 m, 29.80938703 | 101.096116",Shrub or Tree,,Acer pentaphyllum Diels,49.249515,-123.234415,"Yajiang, road from Yalong to Milong"
2024-0400,2024-0400.88,Sapindaceae,Acer,Acer pycnanthum,Acer pycnanthum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,Vulnerable,,,,,,,"JPN: Gifu Prefecture, Mizunami, Ookute, 35.43522 | 137.27623",Tree,,Acer pycnanthum K.Koch,49.249515,-123.234415,"Mizunami, Ookute"
2022-0563,2022-0563.88,Sapindaceae,Acer,Acer saccharum,Acer saccharum subsp. nigrum,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,W,,,,11.0,9.0,6.0,6.0,"CAN: Ontario, Wellington County, Marden Tract, 355 m, 43.57331 | -80.308473",Tree,,Acer saccharum subsp. nigrum (F.Michx.) Desmarais,49.249515,-123.234415,Marden Tract
2023-0157,2023-0157.88,Sapindaceae,Acer,Acer tataricum,Acer tataricum subsp. semenovii,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,11.0,11.0,8.0,8.0,,Tree,,Acer tataricum Regel & Herder subsp. semenovii A.E.Murray,49.249515,-123.234415,
2021-0100,2021-0100.88,Ranunculaceae,Aconitum,Aconitum anthora,Aconitum anthora,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,5.0,2.0,2.0,,Herbaceous Perennial,,Aconitum anthora L.,49.249515,-123.234415,
2023-0376,2023-0376.88,Ranunculaceae,Aconitum,Aconitum carmichaelii,Aconitum carmichaelii Arendsii Group,8,Nursery,49.249515,-123.234415,Kevin Kubeck,Planting,G,,,,9.0,11.0,11.0,11.0,,Herbaceous Perennial,,Aconitum carmichaelii Arendsii Group,49.249515,-123.234415,
